Date,NO.1,NO.2,NO.3,NO.4,NO.5
2024/5/3,5,6,11,16,37
2024/5/29,1,7,9,20,32
2024/5/28,16,23,29,36,39
2024/5/27,5,13,14,17,24
2024/5/25,1,15,32,34,38
2024/5/24,5,16,22,26,39
2024/5/23,14,23,26,27,34
2024/5/22,11,13,15,23,29
2024/5/21,1,3,16,24,31
2024/5/20,3,5,28,32,34
2024/5/2,3,6,13,28,35
2024/5/18,5,10,11,32,37
2024/5/17,14,19,27,30,38
2024/5/16,9,10,21,33,35
2024/5/15,4,6,14,26,33
2024/5/14,7,11,18,20,22
2024/5/13,4,14,33,36,37
2024/5/11,1,7,11,15,29
2024/5/10,1,12,31,38,39
2024/5/1,9,24,32,36,39
2024/4/9,12,21,24,25,39
2024/4/8,3,9,21,27,36
2024/4/6,4,7,15,22,30
2024/4/5,1,13,31,34,35
2024/4/4,8,14,22,27,35
2024/4/30,3,7,12,17,37
2024/4/3,1,3,6,21,27
2024/4/29,4,10,12,21,27
2024/4/27,9,15,22,34,36
2024/4/26,10,14,25,31,36
2024/4/25,16,20,21,22,25
2024/4/24,3,6,10,17,28
2024/4/23,17,18,32,35,37
2024/4/22,6,14,20,28,35
2024/4/20,3,12,20,34,35
2024/4/2,4,10,12,23,26
2024/4/19,2,10,21,22,38
2024/4/18,6,13,15,25,28
2024/4/17,15,28,35,36,39
2024/4/16,6,17,21,26,28
2024/4/15,3,9,10,13,17
2024/4/13,1,2,9,19,31
2024/4/12,1,3,10,14,31
2024/4/11,13,15,18,19,33
2024/4/10,2,3,21,26,30
2024/4/1,5,9,14,20,33
2024/3/9,5,10,27,37,38
2024/3/8,8,11,15,20,36
2024/3/7,2,6,20,23,36
2024/3/6,9,19,23,36,38
2024/3/5,26,34,36,37,39
2024/3/4,1,3,5,19,38
2024/3/30,2,12,15,24,35
2024/3/29,11,12,18,23,24
2024/3/28,1,10,16,26,29
2024/3/27,10,21,23,27,30
2024/3/26,5,7,30,35,38
2024/3/25,4,11,20,34,36
2024/3/23,7,17,27,28,33
2024/3/22,7,11,12,24,38
2024/3/21,1,2,4,13,27
2024/3/20,5,24,29,34,35
2024/3/2,17,19,29,36,37
2024/3/19,10,16,26,38,39
2024/3/18,11,16,18,19,25
2024/3/16,2,6,16,27,39
2024/3/15,7,8,9,14,34
2024/3/14,18,19,22,26,28
2024/3/13,8,12,22,35,36
2024/3/12,12,21,23,38,39
2024/3/11,2,8,16,18,36
2024/3/1,5,12,13,21,36
2024/2/9,6,20,22,36,37
2024/2/8,20,25,31,35,38
2024/2/7,6,11,15,28,31
2024/2/6,6,13,16,32,39
2024/2/5,12,15,16,23,28
2024/2/3,14,20,21,23,34
2024/2/29,7,15,22,26,37
2024/2/28,7,14,28,29,38
2024/2/27,11,27,30,31,38
2024/2/26,23,25,29,31,32
2024/2/24,2,7,10,15,33
2024/2/23,1,3,15,18,35
2024/2/22,3,5,12,15,33
2024/2/21,1,3,4,35,37
2024/2/20,21,26,29,30,34
2024/2/2,10,22,26,32,33
2024/2/19,5,9,17,24,25
2024/2/17,12,18,31,38,39
2024/2/16,7,11,16,34,36
2024/2/15,2,4,15,17,30
2024/2/14,4,16,27,30,37
2024/2/13,23,24,28,30,31
2024/2/12,6,8,22,29,38
2024/2/10,3,18,19,21,22
2024/2/1,10,17,19,29,37
2024/12/9,8,9,20,28,32
2024/12/7,6,24,31,32,33
2024/12/6,2,15,20,33,38
2024/12/5,5,19,23,28,39
2024/12/4,12,27,33,35,38
2024/12/31,11,15,32,33,34
2024/12/30,3,20,23,27,31
2024/12/3,7,12,15,16,18
2024/12/28,17,18,24,26,30
2024/12/27,7,15,19,20,38
2024/12/26,5,7,12,20,38
2024/12/25,6,18,21,29,38
2024/12/24,1,14,15,28,39
2024/12/23,2,6,13,18,22
2024/12/21,12,13,14,18,32
2024/12/20,3,9,16,19,26
2024/12/2,5,13,23,29,38
2024/12/19,7,8,11,27,33
2024/12/18,3,24,27,33,37
2024/12/17,3,5,7,16,31
2024/12/16,5,11,21,23,26
2024/12/14,3,7,8,12,35
2024/12/13,2,9,20,34,38
2024/12/12,2,11,16,23,29
2024/12/11,4,22,32,34,37
2024/12/10,7,12,13,21,24
2024/11/9,2,3,10,21,36
2024/11/8,1,9,13,31,32
2024/11/7,6,10,20,25,32
2024/11/6,6,11,14,18,22
2024/11/5,1,8,18,27,30
2024/11/4,3,7,10,26,35
2024/11/30,4,11,16,17,24
2024/11/29,3,11,18,25,35
2024/11/28,5,9,20,29,34
2024/11/27,7,13,14,21,35
2024/11/26,1,5,11,27,29
2024/11/25,3,6,19,20,38
2024/11/23,3,13,28,29,38
2024/11/22,3,7,8,17,30
2024/11/21,4,12,13,23,25
2024/11/20,13,20,30,31,33
2024/11/2,6,7,16,37,38
2024/11/19,10,14,21,32,33
2024/11/18,3,5,23,26,27
2024/11/16,4,24,29,33,37
2024/11/15,2,18,27,29,39
2024/11/14,5,11,17,25,30
2024/11/13,3,11,18,21,35
2024/11/12,5,8,17,24,28
2024/11/11,7,14,20,24,26
2024/11/1,4,8,11,19,31
2024/10/9,12,17,25,31,34
2024/10/8,1,11,13,25,37
2024/10/7,2,10,17,21,39
2024/10/5,2,5,8,14,32
2024/10/4,5,11,27,38,39
2024/10/31,8,13,25,36,38
2024/10/30,10,11,17,24,33
2024/10/3,1,6,15,19,39
2024/10/29,9,12,25,29,35
2024/10/28,1,6,13,22,39
2024/10/26,13,15,18,26,28
2024/10/25,6,8,15,28,39
2024/10/24,1,4,8,20,22
2024/10/23,10,18,19,26,37
2024/10/22,7,16,25,32,34
2024/10/21,1,9,17,31,35
2024/10/2,7,8,13,22,34
2024/10/19,11,15,24,36,37
2024/10/18,4,11,26,34,38
2024/10/17,1,18,21,36,37
2024/10/16,15,20,27,30,31
2024/10/15,2,19,27,33,35
2024/10/14,4,14,19,25,32
2024/10/12,14,21,22,23,35
2024/10/11,14,15,16,24,29
2024/10/10,3,25,29,35,38
2024/10/1,20,23,30,31,35
2024/1/9,9,17,19,23,27
2024/1/8,7,22,35,38,39
2024/1/6,1,16,33,37,39
2024/1/5,10,11,14,21,33
2024/1/4,11,27,28,29,37
2024/1/31,6,10,21,32,38
2024/1/30,3,11,21,23,36
2024/1/3,1,5,21,32,37
2024/1/29,1,3,18,22,28
2024/1/27,1,8,9,30,35
2024/1/26,6,9,12,22,31
2024/1/25,1,14,32,34,36
2024/1/24,4,12,29,33,36
2024/1/23,8,16,18,19,35
2024/1/22,3,15,17,25,36
2024/1/20,15,20,28,36,37
2024/1/2,21,22,25,30,37
2024/1/19,2,3,13,17,35
2024/1/18,10,27,31,32,33
2024/1/17,10,17,32,38,39
2024/1/16,2,5,9,27,29
2024/1/15,1,3,10,11,35
2024/1/13,14,20,27,33,38
2024/1/12,1,3,12,23,31
2024/1/11,15,23,34,36,37
2024/1/10,3,6,15,19,24
2024/1/1,3,9,27,30,33
